0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:21 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/images/spring.png HTTP/1.1" 200 283323
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:21 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:21 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/css/jquery-ui.min.css HTTP/1.1" 200 32130
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:21 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:21 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/js/jquery-ui.min.js HTTP/1.1" 200 254921
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:24 +0100] "GET /factura/cargar-productos/a?term=a HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:31 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/css/jquery-ui.min.css HTTP/1.1" 200 32130
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:31 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:31 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/css/bootstrap.min.css.map HTTP/1.1" 404 168
0:0:0:0:0:0:0:1 - - [13/Jan/2022:17:38:31 +0100] "GET /spring-boot-data-jpa-tomcat-0.0.1-SNAPSHOT/js/popper.min.js.map HTTP/1.1" 404 163
